fname,label
00044347.wav,Hi-hat
001ca53d.wav,Saxophone
00353774.wav,Cello
003b91e8.wav,Cello
004ad66f.wav,Clarinet
006f2f32.wav,Hi-hat
00780200.wav,Snare_drum
0091fc7f.wav,Cello
00cb787c.wav,Flute
00ce569f.wav,Hi-hat
00d40fa2.wav,Snare_drum
00d9fa61.wav,Flute
011a2185.wav,Cello
013c3135.wav,Clarinet
015cf474.wav,Clarinet
0184c390.wav,Cello
018863f5.wav,Double_bass
018a10bb.wav,Double_bass
018d1dc4.wav,Hi-hat
01c2f88b.wav,Bass_drum
0231b9f3.wav,Double_bass
024c4c6d.wav,Bass_drum
025f3fd2.wav,Hi-hat
027aa77c.wav,Clarinet
0286fc27.wav,Double_bass
029632ad.wav,Cello
02ac1057.wav,Flute
02d367e4.wav,Clarinet
02d7fba3.wav,Double_bass
02dbfc78.wav,Cello
02f8e94d.wav,Clarinet
0313ea1a.wav,Flute
0338f669.wav,Cello
0356dec7.wav,Acoustic_guitar
03d42e2e.wav,Double_bass
03fc1f96.wav,Bass_drum
04076350.wav,Clarinet
04186a03.wav,Violin_or_fiddle
0446a487.wav,Snare_drum
0482a372.wav,Cello
04b4009f.wav,Snare_drum
04b9a79a.wav,Clarinet
04e82f46.wav,Bass_drum
0508f1e3.wav,Double_bass
0513cbfc.wav,Bass_drum
0526ac41.wav,Double_bass
05561612.wav,Cello
0556be76.wav,Violin_or_fiddle
05b76c07.wav,Saxophone
05d81cdf.wav,Acoustic_guitar
05e4028a.wav,Saxophone
05ecefbe.wav,Violin_or_fiddle
05ef46ec.wav,Double_bass
05f2c2a6.wav,Clarinet
0627acfa.wav,Cello
064cfad3.wav,Clarinet
06789937.wav,Saxophone
06b89bf9.wav,Violin_or_fiddle
06c48eab.wav,Hi-hat
06d164df.wav,Clarinet
06f60188.wav,Saxophone
070bcdd9.wav,Violin_or_fiddle
070f52cb.wav,Cello
071803a0.wav,Cello
071efb95.wav,Bass_drum
0720ef3b.wav,Saxophone
072f3031.wav,Double_bass
0730a3d8.wav,Acoustic_guitar
078f7ac0.wav,Hi-hat
079968f4.wav,Clarinet
07db7f16.wav,Flute
07f16007.wav,Cello
07f6b1dc.wav,Cello
07f88679.wav,Hi-hat
082321d2.wav,Cello
0879e568.wav,Saxophone
08894340.wav,Double_bass
08b88eb7.wav,Violin_or_fiddle
08e79547.wav,Bass_drum
08fa5140.wav,Clarinet
0906c4a9.wav,Double_bass
095836cb.wav,Flute
0969b5c5.wav,Acoustic_guitar
09a1cfd7.wav,Hi-hat
09a63606.wav,Acoustic_guitar
09a7c5ce.wav,Snare_drum
09b8a126.wav,Violin_or_fiddle
0a0a8d4c.wav,Clarinet
0a15b36b.wav,Clarinet
0a2b4c80.wav,Snare_drum
0a98104d.wav,Cello
0ad0bf22.wav,Saxophone
0ad666e3.wav,Saxophone
0b1f22c3.wav,Saxophone
0b3636e4.wav,Cello
0b436682.wav,Acoustic_guitar
0b5dd555.wav,Double_bass
0b6ac630.wav,Hi-hat
0b7aa40a.wav,Cello
0b82b3a5.wav,Clarinet
0bab86ae.wav,Violin_or_fiddle
0be246ba.wav,Double_bass
0c3044b3.wav,Saxophone
0c364094.wav,Cello
0c36c39a.wav,Saxophone
0c3cba8b.wav,Clarinet
0c547bc4.wav,Violin_or_fiddle
0c67f402.wav,Snare_drum
0ce9b7a0.wav,Double_bass
0cea4550.wav,Clarinet
0d0c7375.wav,Bass_drum
0d8012f4.wav,Saxophone
0da0c554.wav,Double_bass
0da527a6.wav,Violin_or_fiddle
0ddb4bdf.wav,Bass_drum
0e2fbeb8.wav,Double_bass
0e630318.wav,Snare_drum
0e7622f0.wav,Saxophone
0e7cd4eb.wav,Violin_or_fiddle
0ea3dbaf.wav,Saxophone
0eb63f5a.wav,Acoustic_guitar
0ed06544.wav,Hi-hat
0eeaebcb.wav,Acoustic_guitar
0ef9a602.wav,Hi-hat
0f5c62dd.wav,Clarinet
0f72651c.wav,Hi-hat
0f958ff0.wav,Saxophone
0fa61324.wav,Flute
10086933.wav,Double_bass
10099e50.wav,Bass_drum
102db6b4.wav,Flute
1032e684.wav,Clarinet
10357e1e.wav,Flute
103f29e5.wav,Double_bass
10783ffe.wav,Flute
10884a97.wav,Double_bass
108e95b3.wav,Clarinet
10cf0a2c.wav,Cello
10da16fb.wav,Acoustic_guitar
1148986e.wav,Violin_or_fiddle
1163de55.wav,Hi-hat
1176bda6.wav,Cello
11798f57.wav,Cello
117cc2f0.wav,Flute
1181e997.wav,Double_bass
118831d9.wav,Cello
11f7fc13.wav,Clarinet
11f8b3dd.wav,Snare_drum
12091a74.wav,Hi-hat
121749b9.wav,Bass_drum
1220471f.wav,Flute
123d0d60.wav,Snare_drum
124360b8.wav,Snare_drum
125e6ccf.wav,Cello
1264b8c7.wav,Saxophone
129dc328.wav,Double_bass
12e4c120.wav,Saxophone
1314cdad.wav,Bass_drum
131b1516.wav,Saxophone
1374fcda.wav,Flute
13847ff3.wav,Hi-hat
139c42cb.wav,Flute
13da16ae.wav,Double_bass
141291fc.wav,Hi-hat
142cb2c4.wav,Violin_or_fiddle
14303ca5.wav,Acoustic_guitar
1430f062.wav,Snare_drum
1441c25b.wav,Clarinet
147f4395.wav,Cello
149ca673.wav,Acoustic_guitar
14a12f6c.wav,Clarinet
14ac7cbd.wav,Violin_or_fiddle
14e15b48.wav,Acoustic_guitar
14fd19da.wav,Cello
1549bbaf.wav,Clarinet
154df401.wav,Cello
1551f28a.wav,Violin_or_fiddle
155382a4.wav,Double_bass
15914050.wav,Violin_or_fiddle
15ba13c4.wav,Acoustic_guitar
15cb6baf.wav,Bass_drum
15cc274e.wav,Clarinet
15dcc731.wav,Saxophone
15e43efb.wav,Violin_or_fiddle
160507aa.wav,Hi-hat
160c92d7.wav,Acoustic_guitar
161be325.wav,Cello
162276f0.wav,Clarinet
16c14c67.wav,Flute
16c9a838.wav,Acoustic_guitar
16d21bca.wav,Clarinet
16d5da39.wav,Snare_drum
16e47626.wav,Double_bass
1704b6b1.wav,Violin_or_fiddle
17c7a30d.wav,Violin_or_fiddle
17d87e42.wav,Violin_or_fiddle
17f32070.wav,Snare_drum
17f82c05.wav,Acoustic_guitar
180911ae.wav,Flute
18267e3e.wav,Flute
18492a23.wav,Violin_or_fiddle
18674495.wav,Violin_or_fiddle
18865530.wav,Flute
188acf6a.wav,Cello
189c2ac2.wav,Double_bass
18a31494.wav,Snare_drum
18c287ea.wav,Flute
18c3695b.wav,Cello
18ea8f49.wav,Snare_drum
18feebe1.wav,Acoustic_guitar
19105b8a.wav,Clarinet
192fa8cc.wav,Flute
19341f36.wav,Hi-hat
19389aaf.wav,Flute
1947f717.wav,Violin_or_fiddle
195f544d.wav,Cello
197cbdfe.wav,Hi-hat
19893aa8.wav,Double_bass
199b1adf.wav,Cello
19a1f537.wav,Double_bass
1a16ebfd.wav,Saxophone
1a2deaa1.wav,Violin_or_fiddle
1a4a4ebe.wav,Saxophone
1a5f1f24.wav,Snare_drum
1a6cd0d1.wav,Violin_or_fiddle
1a7d3f2d.wav,Double_bass
1a94ef89.wav,Acoustic_guitar
1ab80336.wav,Violin_or_fiddle
1ac389e0.wav,Acoustic_guitar
1ae3d076.wav,Bass_drum
1aecb8bf.wav,Cello
1b052de5.wav,Double_bass
1b1e809b.wav,Cello
1b24c166.wav,Violin_or_fiddle
1b2d8997.wav,Clarinet
1b738acd.wav,Saxophone
1b7b6f2d.wav,Bass_drum
1b9109be.wav,Clarinet
1b9386ef.wav,Clarinet
1b93aeba.wav,Flute
1bc8eae1.wav,Snare_drum
1bf859a7.wav,Saxophone
1c2b5b18.wav,Cello
1c6b07b8.wav,Cello
1c720526.wav,Saxophone
1c76a229.wav,Clarinet
1c9a423f.wav,Snare_drum
1cc13604.wav,Hi-hat
1ce38807.wav,Flute
1ce70b78.wav,Acoustic_guitar
1ced478c.wav,Flute
1d23c74b.wav,Double_bass
1d23fb6d.wav,Flute
1d24518b.wav,Double_bass
1d5a6f5f.wav,Cello
1df3177c.wav,Saxophone
1dfc889a.wav,Flute
1e0b5758.wav,Clarinet
1e0c7af2.wav,Snare_drum
1e10d3fc.wav,Hi-hat
1e2f6175.wav,Acoustic_guitar
1e3391d5.wav,Snare_drum
1e55de2b.wav,Double_bass
1e87e47d.wav,Bass_drum
1e93f880.wav,Violin_or_fiddle
1e9c1292.wav,Clarinet
1ebdc0b5.wav,Acoustic_guitar
1efe03bd.wav,Flute
1f4a7bfe.wav,Flute
1f4c37a7.wav,Bass_drum
1f51ed51.wav,Snare_drum
1f641b71.wav,Acoustic_guitar
1f743685.wav,Saxophone
1f81cc2b.wav,Clarinet
1fbe6ff3.wav,Cello
1ff2689f.wav,Acoustic_guitar
2013a12f.wav,Snare_drum
2016d256.wav,Acoustic_guitar
202b6258.wav,Cello
202cbd7d.wav,Saxophone
2032be87.wav,Hi-hat
206161e8.wav,Double_bass
206a5cb4.wav,Snare_drum
208a14b6.wav,Violin_or_fiddle
20b1a46c.wav,Cello
20b47b1d.wav,Flute
20e3ef07.wav,Snare_drum
20e6791a.wav,Cello
213274fa.wav,Flute
2133f209.wav,Hi-hat
21346775.wav,Violin_or_fiddle
2137ed0e.wav,Double_bass
213d2998.wav,Flute
214ddd6b.wav,Acoustic_guitar
21b56eda.wav,Flute
21bf162b.wav,Saxophone
21e66bd2.wav,Clarinet
21ff3084.wav,Snare_drum
220a73b7.wav,Double_bass
224b3393.wav,Flute
225b34b1.wav,Violin_or_fiddle
2287043f.wav,Violin_or_fiddle
22979cf9.wav,Hi-hat
229be2be.wav,Snare_drum
22b85cd1.wav,Acoustic_guitar
22bea889.wav,Cello
22d8346b.wav,Flute
22e1c02c.wav,Snare_drum
22e814ee.wav,Acoustic_guitar
22f85886.wav,Violin_or_fiddle
23219d68.wav,Clarinet
2336285e.wav,Flute
23663788.wav,Acoustic_guitar
236cbab1.wav,Acoustic_guitar
23704fa9.wav,Acoustic_guitar
238b16a5.wav,Cello
238fb6b8.wav,Cello
2392ad36.wav,Bass_drum
23f38a7e.wav,Snare_drum
2424ad60.wav,Violin_or_fiddle
245e58ea.wav,Bass_drum
246ad992.wav,Cello
24791b50.wav,Cello
247ac56f.wav,Saxophone
249912b5.wav,Violin_or_fiddle
24ba0ef2.wav,Clarinet
24cb1e29.wav,Cello
24eacf14.wav,Acoustic_guitar
24ed5a72.wav,Flute
2503aaa1.wav,Hi-hat
252227f9.wav,Double_bass
253b91fe.wav,Flute
255db1a8.wav,Violin_or_fiddle
258777c8.wav,Flute
25a3f8ba.wav,Snare_drum
25a82ad1.wav,Saxophone
25ad6ed7.wav,Acoustic_guitar
25cc1f6a.wav,Cello
25eef09a.wav,Saxophone
25f26095.wav,Saxophone
260da1b4.wav,Acoustic_guitar
2620d32b.wav,Violin_or_fiddle
264301a3.wav,Saxophone
2648b632.wav,Double_bass
2655d941.wav,Violin_or_fiddle
2658f202.wav,Flute
2659c14c.wav,Saxophone
267bda40.wav,Acoustic_guitar
26928361.wav,Cello
26c723f2.wav,Acoustic_guitar
26fce215.wav,Violin_or_fiddle
27048e94.wav,Flute
271f6198.wav,Saxophone
273695bd.wav,Flute
275b9330.wav,Clarinet
276ee568.wav,Hi-hat
2777b9fa.wav,Flute
27869ba5.wav,Snare_drum
279ca8cf.wav,Flute
27a4d0ed.wav,Cello
27c53672.wav,Hi-hat
27ce7acc.wav,Flute
27e6d2ac.wav,Violin_or_fiddle
27fbb25c.wav,Snare_drum
27ff9eea.wav,Clarinet
280b5439.wav,Double_bass
284a6757.wav,Violin_or_fiddle
286580a3.wav,Double_bass
287259da.wav,Clarinet
28877d48.wav,Acoustic_guitar
288d0dff.wav,Hi-hat
289250ae.wav,Hi-hat
289cc6a8.wav,Saxophone
28e0f162.wav,Double_bass
28f5dfd6.wav,Double_bass
290976f9.wav,Flute
291277ae.wav,Violin_or_fiddle
29170890.wav,Violin_or_fiddle
2933a5dc.wav,Hi-hat
2939852d.wav,Clarinet
29441746.wav,Saxophone
2979f92a.wav,Clarinet
29ea2c57.wav,Cello
29ff7d7b.wav,Double_bass
2a3087ed.wav,Flute
2a4aa95d.wav,Hi-hat
2a4d4883.wav,Flute
2a55208f.wav,Cello
2aac13ec.wav,Cello
2ac8b94f.wav,Double_bass
2ae249e8.wav,Cello
2af48f93.wav,Flute
2af5172d.wav,Double_bass
2af5749f.wav,Cello
2b1ed909.wav,Flute
2b315768.wav,Cello
2b74a334.wav,Bass_drum
2bc84744.wav,Saxophone
2bd764ef.wav,Acoustic_guitar
2c4735d7.wav,Snare_drum
2c5448df.wav,Clarinet
2c8e1436.wav,Flute
2c98dea1.wav,Violin_or_fiddle
2cc8683d.wav,Violin_or_fiddle
2cdffbef.wav,Acoustic_guitar
2cea0b5c.wav,Acoustic_guitar
2d1d4fab.wav,Snare_drum
2d3e9e2a.wav,Hi-hat
2d6570ce.wav,Saxophone
2d871232.wav,Cello
2da9e12a.wav,Cello
2de7d3df.wav,Double_bass
2e0af9de.wav,Cello
2e1cd085.wav,Clarinet
2e270b74.wav,Saxophone
2e2f1a7e.wav,Double_bass
2e8579ad.wav,Violin_or_fiddle
2e8d6e34.wav,Violin_or_fiddle
2e992414.wav,Acoustic_guitar
2ea318e7.wav,Violin_or_fiddle
2ea5702d.wav,Saxophone
2eb83a0b.wav,Cello
2ee0f61c.wav,Acoustic_guitar
2f2429ad.wav,Acoustic_guitar
2f2d2e7f.wav,Violin_or_fiddle
2f3515c2.wav,Clarinet
2f4d09b2.wav,Saxophone
2f50de25.wav,Bass_drum
2f5fe8ea.wav,Hi-hat
2f6c4dec.wav,Cello
2f84b9ec.wav,Clarinet
2f9c5f62.wav,Saxophone
2fc00271.wav,Clarinet
2fe59aa8.wav,Violin_or_fiddle
30114da8.wav,Hi-hat
306f9e3f.wav,Saxophone
3071420d.wav,Acoustic_guitar
3078e97f.wav,Clarinet
30c4e08b.wav,Cello
30e5f399.wav,Cello
31553d36.wav,Saxophone
315dc79f.wav,Violin_or_fiddle
317206d4.wav,Flute
31886d2a.wav,Cello
318a5116.wav,Acoustic_guitar
319c6220.wav,Acoustic_guitar
31a32dc6.wav,Double_bass
31b0b176.wav,Saxophone
31db8c5e.wav,Snare_drum
31dbc5c0.wav,Cello
3203fedb.wav,Snare_drum
320f812b.wav,Flute
3217ac10.wav,Cello
3219fa26.wav,Saxophone
3251bac1.wav,Saxophone
325ae37c.wav,Bass_drum
327111f1.wav,Saxophone
3272e576.wav,Saxophone
327a2509.wav,Cello
3289db4d.wav,Acoustic_guitar
32bd34b5.wav,Violin_or_fiddle
32c5c6bd.wav,Acoustic_guitar
32dee61b.wav,Acoustic_guitar
3300aae9.wav,Double_bass
33298bf9.wav,Hi-hat
332d14da.wav,Saxophone
336a39a7.wav,Flute
33ae49c1.wav,Double_bass
33c062e8.wav,Bass_drum
33d24d85.wav,Snare_drum
33d7ebe0.wav,Clarinet
33f7555a.wav,Clarinet
34262b83.wav,Acoustic_guitar
34337cf1.wav,Snare_drum
3444f2be.wav,Saxophone
34672f76.wav,Snare_drum
34747922.wav,Acoustic_guitar
34783839.wav,Flute
34a90030.wav,Hi-hat
34c01286.wav,Saxophone
34d0a285.wav,Acoustic_guitar
34dacafb.wav,Cello
34dd9426.wav,Acoustic_guitar
34e04b95.wav,Double_bass
34e4d187.wav,Cello
35039ae1.wav,Acoustic_guitar
3505e582.wav,Clarinet
3518605b.wav,Clarinet
3564bae2.wav,Double_bass
35717b0f.wav,Cello
3586bc2d.wav,Violin_or_fiddle
3592e056.wav,Violin_or_fiddle
35ad5cd8.wav,Bass_drum
35d75ab7.wav,Acoustic_guitar
35e97db3.wav,Flute
36177faa.wav,Bass_drum
3618cb03.wav,Acoustic_guitar
3649d60c.wav,Clarinet
3662e614.wav,Saxophone
367ad7b1.wav,Acoustic_guitar
368b7628.wav,Snare_drum
368d4b71.wav,Snare_drum
369164fe.wav,Hi-hat
36b9767a.wav,Cello
36bdf504.wav,Acoustic_guitar
36d20ab5.wav,Saxophone
36defe49.wav,Clarinet
36e38450.wav,Bass_drum
36f96922.wav,Bass_drum
3707da71.wav,Flute
37319862.wav,Cello
373f60bf.wav,Double_bass
376dab91.wav,Snare_drum
37cebbd4.wav,Saxophone
37d0eec4.wav,Cello
37d26e27.wav,Saxophone
37ddee5e.wav,Bass_drum
37e13c23.wav,Bass_drum
37eb63b4.wav,Snare_drum
38042954.wav,Clarinet
38216fad.wav,Acoustic_guitar
3846f2fa.wav,Double_bass
385c2814.wav,Double_bass
385e9493.wav,Double_bass
38e16501.wav,Snare_drum
38f3f2c6.wav,Acoustic_guitar
39000328.wav,Violin_or_fiddle
392c6f03.wav,Bass_drum
3953b6e1.wav,Cello
39618d1a.wav,Clarinet
396a1d62.wav,Saxophone
39977cdf.wav,Clarinet
39a63f30.wav,Violin_or_fiddle
39f86ded.wav,Cello
39fca828.wav,Cello
39ff9b6b.wav,Hi-hat
3a0471fd.wav,Acoustic_guitar
3a151637.wav,Flute
3a151889.wav,Double_bass
3a3d0279.wav,Hi-hat
3a460182.wav,Double_bass
3a49f221.wav,Snare_drum
3a6d46a7.wav,Cello
3a77d7c4.wav,Saxophone
3a80061f.wav,Saxophone
3a9085ca.wav,Bass_drum
3aafb6ad.wav,Hi-hat
3ac277ba.wav,Snare_drum
3ac4653e.wav,Hi-hat
3ad40d01.wav,Hi-hat
3ae76b24.wav,Double_bass
3af3565c.wav,Acoustic_guitar
3b0b9d26.wav,Clarinet
3b0d3e23.wav,Cello
3b3fbb8b.wav,Clarinet
3b60c423.wav,Clarinet
3b6b430a.wav,Saxophone
3b842547.wav,Clarinet
3bbe245d.wav,Double_bass
3bd52441.wav,Flute
3bf2a899.wav,Flute
3bfb1c63.wav,Double_bass
3c24b853.wav,Clarinet
3c462bc9.wav,Hi-hat
3c5bfea2.wav,Acoustic_guitar
3c66098d.wav,Clarinet
3c694bfc.wav,Snare_drum
3c713bcf.wav,Clarinet
3c82d509.wav,Double_bass
3c8323d0.wav,Clarinet
3c8dc12d.wav,Clarinet
3c966bb8.wav,Cello
3c9abefe.wav,Double_bass
3c9cc3d1.wav,Saxophone
3cbe9902.wav,Clarinet
3cc6911c.wav,Bass_drum
3d2fd74b.wav,Hi-hat
3d3439f1.wav,Hi-hat
3d94c79e.wav,Flute
3dbb6542.wav,Double_bass
3dc30df9.wav,Cello
3dc717ea.wav,Hi-hat
3df53f0c.wav,Bass_drum
3e2bddda.wav,Cello
3e33282d.wav,Acoustic_guitar
3e410f2b.wav,Hi-hat
3eaddda8.wav,Flute
3ec68757.wav,Cello
3ed07532.wav,Flute
3edc4278.wav,Violin_or_fiddle
3ef05695.wav,Violin_or_fiddle
3f2933f9.wav,Violin_or_fiddle
3f309887.wav,Saxophone
3f7b7686.wav,Snare_drum
3f7e6da8.wav,Clarinet
3f8d2bee.wav,Flute
3f9eaa47.wav,Bass_drum
3fd93883.wav,Cello
3ff0d94e.wav,Acoustic_guitar
404c1e72.wav,Acoustic_guitar
40772f25.wav,Hi-hat
40a40896.wav,Saxophone
40a5bbad.wav,Saxophone
40c2cec1.wav,Cello
41588cd6.wav,Acoustic_guitar
41897c32.wav,Hi-hat
418cb760.wav,Acoustic_guitar
41d9c342.wav,Cello
420b6ee8.wav,Double_bass
420d9b56.wav,Acoustic_guitar
423210f5.wav,Saxophone
4245ef44.wav,Hi-hat
42470db4.wav,Hi-hat
42c2f288.wav,Flute
42e248e4.wav,Cello
43433aad.wav,Flute
4345851e.wav,Saxophone
436afb11.wav,Hi-hat
43780215.wav,Clarinet
437ccea5.wav,Bass_drum
43a920c9.wav,Acoustic_guitar
43c5b733.wav,Double_bass
43fc0633.wav,Saxophone
4428ce4f.wav,Violin_or_fiddle
